,e_class,prep_tweet
1822,3,feel curious impatient eager confused
1823,2,feel rush prize give dilute event future prize giving rush timetable
1824,4,ask join create world year old girl grow feel hopeful powerful
1825,1,m little concerned ill look day leave ground ill feel like miss
1826,1,feel horrible result
1827,2,fall love feeling dangerous
1828,4,feel satisfied happy choice today
1829,4,breathe feel lively upbeat
1830,1,feel bit mournful read bulletin myspace friend
1831,0,ve feel restless home day probably coope school home way long
1832,4,breathe scent time feel embrace friendly hug year
1833,5,feel gentle hand careess tender care curled shoulder pull embrace sun reach search face
1834,1,instantly feel reject
1835,2,feel wrong fact hu jia good society
1836,0,m kind feel nervous anxious shit today
1837,0,trip feel strange combination excitement dread
1838,5,feel like thank lovely wish lovely comment mean
1839,1,certify ace love lately feel like fake
1840,5,feel sympathetic tell sorry feel responsible getting burn ridiculous grown man live sun sensitive skin year know care
1841,4,execute trick work dishwasher magic feel clever
1842,5,d feel sympathetic like current situation
1843,1,ve post blog feel like s unfortunate
1844,1,start feel ache especially low
1845,4,feel kid know talented think thing american idol deal grab hold tell
1846,5,m write feel like discard lack support idea
1847,0,don t feel like have distraught parent breathe neck
1848,1,ve wait time week finally m feel bit homesick
1849,4,t feeling family fan
1850,4,feel proud weight loss complete month time lose kg approx pound
1851,1,feel little isolated house time
1852,1,feel troubled guess good word
1853,5,screw brow realize reaction ponder possibly feel fond stranger
1854,4,feel successful achieve vision
1855,0,feel bashful teasing scrutiny
1856,0,think m compel act meek asian kind feel tad inhibit extent not
1857,2,vividly remember feel offended dream thing choice
1858,4,feel privileged having say privileged
1859,0,feel weird want sure feel love
1860,0,not feel uncomfortable wear work
1861,3,feel stunned people get big way
1862,1,feel bit dishearten black belt instructor dojo richard ask let set destiny
1863,4,try work find joy simple thing god find joy obedience doesn t feel joyful way
1864,0,see piano new cheap large miss feel uncertain buy
1865,4,feel like socially acceptable allow traditional view throw bus fight ll offend stand
1866,0,reason foreign tourist feel reluctant drive island
1867,4,not feel
1868,1,kind feel lame not regret come
1869,5,feel romantic feeling soul beg god u ur love ur feel ur soul wanna hear beat heart u u wanna u
1870,4,notice worry push feel away replace thought positive remind let control
1871,4,feel super aspect life need read
1872,2,start feel irritated converse
1873,1,remember watch feel devastate sheer familiarity
1874,4,appreciate protectiveness slight jealousy attention make feel value
1875,4,feel bit like franz liebkind producer people know fuhrer terrific dancer
1876,2,feel violent today
1877,1,feel awkward know awkward
1878,1,think make feel weepy
1879,4,feel like need cry past day relieve cry tear today haha
1880,4,want know step candyland look haggard leave feel radiant bag product course
1881,0,feel little bit weird
1882,4,feel damn complacent
1883,0,guess expectation goddamn perfect feel afraid change
1884,4,m happy feel day ve feel pretty
1885,4,feel happy s reason today
1886,4,feel aconfident heart overcomet god want eager learn
1887,0,manage tuesday eat clean caffeine today feel shaky
1888,4,feel energetic motivated
1889,2,feel impatient hit ad s internet die vista virus pro start bother
1890,2,m feel bitchy hell tonight
1891,4,start feel festive little early year
1892,0,feel like time like thing little uncertain thank god small thing
1893,1,feel lethargic unmotivated needy frustrate
1894,4,keen incorporate use recovery tool feel tool useful allow patient control mental health
1895,1,feel lonely
1896,1,feel breed loneliness discontent economy recession stressful money unemployment people want know cause recession topic come divorce
1897,2,britain louis xvi marie antoinette think feel loss russia violent entire family comparatively recent
1898,1,live lemon bar week weekend eat eat eat horrible food feel look horrible
1899,2,feel insult wear croc fashionable shoe icon
1900,1,feel feel like s people actually listen
1901,1,feel like fake eyeglass look old hell little authoritative
1902,4,easy feel kind stasia say
1903,1,right usually don t wear foundation feel like look fake picture
1904,0,feel like ya allah m scared puff fun man d idea
1905,1,didn t know feel mind blank confused numb
1906,5,light feel extremely passionate life yes
1907,0,m drunk example feel lot shy speak foreign language not totally master
1908,4,not know guy relate like feel welcome smile face m have spa treatment
1909,1,think depression negative thought ve lately intervene thought help feel depressed
1910,0,feel like thing m nervous have kid
1911,5,feel care concern
1912,4,not write awhile feel terrific scribble stuff notebook time time
1913,0,meet man feel insecure woman
1914,1,feel sorry use ghd hair straightener damage hair
1915,1,feel bore reject downright unlikeable
1916,1,feel homesick miss snobbish fluffy cat
1917,4,listen yunhos rap give wtf feeling listen couple time m determined learn
1918,4,range feel like m like russell crowe robin hood merida brave
1919,4,feel fucking terrific
1920,4,continue add feel free explore let know think
1921,1,go work like normal not feel bad way shape form
1922,2,m feel aggravate listen phoenix lose find
1923,0,feel bit uncertain s nice girl good friend material
1924,4,feel talented illustrator designer one know idea trapping crosshatch lensflare
1925,4,feel privileged able share artistry know
1926,4,remember feel didn t belong wasn t smart cool young
1927,1,feel kind discouraged happen
1928,3,ask darren get home feel bit curious not matter business
1929,0,feel pain way torture ti possibly understand
1930,4,feel hopeful good week despite have dozen final assignment mark
1931,4,year second semester result come ecstatic
1932,1,d like write interesting right unfortunately feel deprive inspiration
1933,4,feel glad teach home
1934,5,find whinge temperature day moment feel ridiculously hot
1935,4,feel sociable day
1936,1,feel ungrateful god undutiful church use poor effort truth peace
1937,0,m feel insecure month m feel oomph
1938,4,t hate feel like s look pretty damn flawless pic
1939,2,begin feel cranky feeling hell
1940,4,feel radiant heat emanating naked sex reach longingly probe tip hardness
1941,4,know exactly feel like acceptable foist inconvenience family
1942,2,wrong feel angry wrong say
1943,0,feel slightly shaky headache
1944,5,make feel tender inside like wound scabbe surface raw unhealed underneath
1945,3,tween sit mom boss year old year old boy weekend d babysit feel weird consider n
1946,2,feel like m whirlwind m try impatient wait
1947,4,feel distinct feeling tell ok thing ultimately turnout good
1948,1,feel like lot offer area like focus troubled teenager
1949,1,run feel useless understand retirement daily struggle overwhelm
1950,1,bother change feeling leave heartbroken
1951,1,m feel lethargic
1952,1,feel kind vain people tell m pretty
1953,2,m sorry apparently offend lot woman woman feel need rude m go
1954,3,help busy overwork mainly exclusively woman feel overwhelmed frustrated generally pissed health appearance
1955,0,love take people smile way child giggle gorgeous way little one close mom stranger smile feel scared way teenager boisterous life hope
1956,4,feel comfortable
1957,1,hope magical happen today m feel kind listless
1958,1,not know get energy frombut feel slightly shame moody feel not sleep
1959,4,feel like manager everyday feel respected day
1960,1,feel like miss young active content outside ride bike
1961,4,want feel intelligent believe read person help
1962,5,feel reader loyal subscriber need inform great butterfly marketing take ride bank chunky commission
1963,2,study visit chicken factory butchery
1964,1,hurt comment feel unimportant like want date woman
1965,0,feel completely helpless help affect tornado hav
1966,1,cop feel regretful
1967,4,don t feel thankful rel bookmark day don t feel thankful post href http babychaser
1968,1,remember moment feel lose hopeless young
1969,5,sure feel like compliment
1970,4,write feel happy childish
1971,1,stupid mistake say fine day time headmaster punish serve feel punish hard
1972,5,feel like hold firmly love arm surround wide circle people go let fall
1973,5,feel particularly nostalgic day
1974,1,feel disillusioned
1975,0,feel pressured
1976,4,ill thirty year m feel positive life choice m make thing m put world
1977,4,feel creative mind bring diversity new thinking job
1978,5,feel naughty ratbagx
1979,4,guarantee m dizzy feel like m go vomit month go pleasant person
1980,4,smile people smile tell feel little cheer see jolly morning
1981,1,walk neighbor hang work shop kinda get feeling unwelcome
1982,4,feel satisfied necessarily forget pain feel
1983,1,say early feeling ignore baby come get normal attention give
1984,5,look good cause feel passionate volunteer year friend introduce organization pack food ration needy family
1985,5,m feel little tender wood work
1986,2,suddenly feel insult type
1987,1,feel depressed feel like ve negative hadn t influential big brother
1988,4,m try feel hopefully time brave scale good day nice number
1989,1,t help feel bit miserable
1990,0,walk conventional classroom sense feel assault stuff wall hang ceiling cover surface
1991,4,feel clever
1992,1,walk entire grocery store feel like go ache doesn t happen anymore
1993,4,imdoe good strange feel carefree
1994,0,feel difference strength technique class class start find balance pretty shaky business
1995,1,feel low not feel low suck
1996,4,absolutely love skinny fiber wonder feel fabulous
1997,3,feel m strange catholic vortex
1998,3,feeling surprised learn nearly year s time goodbye guide entertaining
1999,4,connected family love feel blessed find family connect different level
2000,1,provide dinner alcohol place crash get return feeling completely unwelcome apartment
2001,2,m feel goddamn piss
2002,0,sign petition know serve day leave feel vulnerable unsure reaction
2003,2,feel like easily distract make thing switch different project week
2004,1,kid strength sufficient wife feel burden
2005,1,know yesterday get cold morning feel terrible
2006,3,feel shocked old
2007,4,hate way mom dad hate neglect feeling need intelligent child rampant parenting style
2008,1,feel helpless explain
2009,2,feel torture href http lawrencewashington
2010,1,fuck coat feel like not know rock swag look little lame try
2011,0,need let feeling fade away will not feel insecure disturb uncomfortable
2012,5,m feel hot bothered let hold body s ready dine ve tell find well lover s kiss lip think need imagine order
2013,4,feel like creative professional need unpressed creative outlet inspire
2014,4,feel increasingly hopeful
2015,3,walk well understanding go experiment feel little stunned equation describe
2016,4,m feel creative good student deadline meet
2017,1,feel like quit rugby ignore
2018,2,start feel resentful overwhelmed s sure sign need mothering
2019,0,m sit boob hang feel uncomfortable
2020,1,overwhelmed deep heart hurt feel like ache start chest spread soul
2021,4,feel assure right answer
2022,4,feel ok blessing pronounce realize accordance faithfulness
2023,0,describe happen feel shaky
2024,4,ve struggle lately feel like say have reaction oh julia clever witty
2025,4,ill honest feel relieve find get book publish
2026,4,want feel not play vital role anyone life exception friend
2027,1,learn silent crush pain want feel unloved
2028,2,feel petty post complaint right like kidnap year old force easter creme egg rest life
2029,4,feel triumphant pride stand counter like achieve high level male honor female redhead boot
2030,2,feel jealous sumthg tat thk
2031,1,use day night feel face dirty ill use img height d irc mi src http c
2032,4,feel energy feel joyful sweet enthusiasm life
2033,1,m lover listener cuddle listen not cuddle thing feel bit listless
2034,1,feel stressed wonder able look bb run go
2035,0,think possible maybe deny maybe open possibility maybe realise possible man man power feel shake leather sandal
2036,5,want share wonderful organization feel extremely passionate
2037,0,m feel hopelessly restless
2038,4,feel intelligent watch
2039,4,feel like get away friendly tasty goodness abound santa cruz include unseen ambient pot smoke make lazy swear visit lay town visit university s university california santa cruz renowne href http www
2040,4,feel special amp bless care amp creative family
2041,4,love lot different kind sport love hang friend free time unhealthy session greys anatomy m feel ecstatic ty
2042,0,feel strange effect
2043,2,loathe gamer say molyneux add make feel insulted
2044,3,remember feel like enthral not actually feel
2045,4,feel confident issue regard high sense urgency
2046,1,m feel like m go upload poetry lame stuff lemme know guy like
2047,1,hope feel m ungrateful s case
2048,4,struggle not anxious instead feel determined succeed
2049,0,feel little uncertain skill birthday party arena
2050,1,feel pain come represent ungrateful client
2051,4,didn t feeling seriously feel love treat disregard faithful loyal
2052,1,feel needy cagey wait leave practice new self old setting
2053,4,get eyebrow wax day feel glamorous
2054,1,feel incredibly damage way behave prepared treat way
2055,4,continue struggle experience normal feeling sense chip away precious time
2056,4,feel like garbage day allergy m glad not minute cancel
2057,4,feel popular
2058,5,want happy feel love
2059,0,cycle country
2060,4,know quaker announce excitedly feel absolutely wonderful period fortnight happen brain
2061,1,feel like lose duck experience life age soul fast physical age not understand
2062,1,feel absolutely shitty
2063,3,ve read feel pleasantly surprised find reading list contain similar book fine chance compare contrast differ
2064,5,believe base greed feel beloved country
2065,0,feel terrified anxious excited apprehensive million thing
2066,2,start feel dissatisfied ease convenience
2067,2,feel disgust dirty
2068,1,ve watch episode quantum leap recently ve love suddenly strike today s exactly feel unfortunate miss focus character name dr
2069,1,will not feel sorry leave
2070,4,feel ecstatic bouncy anxious
2071,5,feel accepted
2072,4,d love hear handle type situation story feel free share
2073,5,idea feel little love hope week hop bless kleinkinder
2074,4,month medication feel fantastic
2075,0,m feel pressured desk pile task wait pack write quiet corner bedroom living room kitchen
2076,1,feel like little boy sense value perpetually doom break valuable life
2077,5,wake feel horny finish get
2078,1,d get past oh gawd m humiliate not feel humiliate
2079,1,feel messy room
2080,1,feel miserable wish dead
2081,1,appreciate think m christian type prayer welcome d feel lost
2082,2,feel frustrated read chapter
2083,1,feel inadequate mother feel like m fail second guess parenting skill
2084,1,feel like ve beat american footballer run london bus
2085,4,love comment feel free
2086,1,not crazy feel disheartened
2087,1,feel hopeless bored
2088,1,manage stop thing leave feel regretful miserable everyday
2089,5,feel leader admire selfish
2090,2,feel extrememly bitchy today ve year life
2091,2,feel pissed feel like sleep s
2092,1,feel overly hopeful week feel like resign wait week potentially long
2093,1,say feel like m verge messy
2094,4,boyfriend tell love give impulsive kiss
2095,0,indulge work forget time trust people easily feel restless work finish
2096,2,m feel grumpy
2097,1,suppose writing emerge feeling emotional urgency usually sense darkness
2098,4,look coordinate cave m feel adventurous decide find tibris direction
2099,4,don t discuss feeling beloved
2100,3,manage photo today outfit feel strange especially not take long time
2101,5,feel passionate issue want passionate blog hop fun spite work go
2102,4,feel like opportunity smart embrace knowledge learn daydream learn
2103,2,feel stress get upset
2104,4,feel like people brave speak non standard self publishing market author know work damn hard deserve well
2105,4,feel ve get fearless artist time think m believe
2106,1,feel disturbed today
2107,3,feel like m weird dreamworld absolutely
2108,1,feel sad
2109,4,suspect deal caffeine withdrawal think figure system eating work feel fab
2110,3,m feel weird
2111,2,feel irritated miss direct instruction master lee pass casually admit body feel like need rest
2112,4,honestly feel heart faithful yo girl
2113,1,get morning heavy burden heart feel bit discouraged question god certain thing clear
2114,4,want matter lifestyle feel little bit glamorous
2115,5,attach feel love feeling miss homesick
2116,4,go sort handheld cam feel lol delighted
2117,4,feel like completely satisfied result
2118,0,feel torture sicken exactly way feel day lance leave
2119,3,kinda lay disappear arm play computer get turn eat dinner way adjective sudden wierd feel collar chest feel like bounce electricity shock left paw
2120,4,feel like valuable college year waste daily routine
2121,0,feeling people think m indecisive childish not entirely true degree
2122,4,sleep night wake feel splendid sniffle itchy throat not sure awake
2123,2,keep feel enrage
2124,0,think soon well feel greg m distressed mood mom
2125,4,ve feel mellow evening
2126,1,feel awkward speak native
2127,1,don t feel reject abandon speak volume expansion self worth
2128,1,feel regretful apologise
2129,4,feel love mother appreciative
2130,2,m damn tired feel little grouchy
2131,4,feel content relieve scene mind
2132,5,think asset make guy stand band musicianship especially late record hit level feel accept genre especially hardcore scene
2133,1,imagine woman breast clinic feel unfortunate like happen
2134,1,try answer generally ve struggle work lately feel pretty morose
2135,4,feel relieved satisfied probably have fun
2136,2,feel like way bothered
2137,1,not help feel ugly
2138,4,question wonder not feel jubilant
2139,4,resurrect m feel generous lengthy series history celebrity crush
2140,3,m old graduation yk feel like yesterday find bit stunned
2141,1,wonder fact able identify destructive behavior feel doom repeat
2142,4,small people think feel amazing bathing suit
2143,1,father child kill accident
2144,1,feel bad watch game
2145,5,want feel year long lovely warm tingle october bring
2146,2,feel stubborn strong ready fight disease
2147,2,feel cold say rachel
2148,4,ve little movie star tear come way feel relieve
2149,3,mother day feel strange realize
2150,2,feel little jealous people sit coffee shop leisurely like morning
2151,5,feel like devoted thing time split weirdly
2152,5,sams angsty headspace jensens voice singe bon jovi make feel horny hell
2153,2,mention m feel cranky
2154,1,wonderful mother law way like mother year end feel bit melancholy mother s day
2155,2,m sure feel kind distracted decide d end week prove
2156,1,know long time feel pathetic feel way
2157,2,m definately feel change m refuse feel impatient
2158,4,post feel like super mom manage care child fiance house day work little sleep
2159,1,feel worthless let happen
2160,0,bit comfort zone m feel tad apprehensive
2161,4,feel like smell pretty use
2162,5,feel like m total pushover moment know know m pushover generous willing benefit doubt pushover
2163,0,sense uncomfortable come deliver letter willing attribute feel weird romantic vulnerable
2164,4,long feel happy score
2165,4,m feel comfortable water
2166,4,feel pole useful pair price stat review pole
2167,4,grand plan bake day end curl couch pouting feel
2168,1,not bring blog right away feel absolutely humiliate heart break
2169,1,feel pained people make kind statement
2170,0,feel like paranoid annoyance reality ve talk way
2171,4,see family separation year
2172,2,feel frustrated impatient
2173,1,leave place feel heartbroken
2174,1,feel bit devastate think ve relationship worth
2175,2,feel say thing not want agree rude
2176,1,go cut feel s unfortunate break hearted
2177,2,feel mad
2178,1,try catch bus explain feel bit dumb
2179,0,didn t feel like shy take mother describe
2180,3,feel amazed
2181,1,believe luck luck feel beat upset
2182,4,feel s ok
2183,4,get chat rustie dean hometown moose jaw feel welcome comfortable
2184,4,actually feel like go ok
2185,2,m feel envious pregant co worker
2186,1,pub instead stay home feeling morose depress
2187,4,stay awake night feel energetic stuff
2188,1,not help feel m sorry
2189,4,feel fool play relieve
2190,4,feel stunningly elegant tonight darling
2191,1,feel lame not help shake fear feel like m fail samuel afraid
2192,0,wake feel distraught aware terrible happen soon
2193,1,feel tinge regret know damage ability breast feed
2194,4,feel s feel beloved brother
2195,3,m feel bit stunned experience tonight watch movie
2196,4,look forward continue challenge feel appreciative boost nutrition healthy track especially pregnancy important time life eat healthy
2197,5,ve decide ex real strong feeling love extremley care not friend eventually blow face
2198,4,love slight cat eye shape lense instantly feel likeaudrey hepburn breakfast tiffany glamorous course gorgeous case not hurt
2199,0,stop learn feel inhibit performance flounder
2200,2,feel ve wrong luckily manage control complain talk bad friend online facebook offline person
2201,1,feel weepy resentful
2202,4,didn t want leave didn t thank parent trust spend night feel like respect
2203,4,listen feel peaceful happy not use big dose life
2204,4,amos beautiful job retrofitting cohen song basic arrangement piano work feel like artistic effort merely pay homage
2205,2,feel classroom extremely dangerous
2206,1,restart gallery feel vain gorgeous time
2207,1,need find way feel hopeless
2208,2,end get unwanted attention boy want little ill sort start boy find flirtie presence ill feel insincere boy like
2209,0,read page feel unsure feel ve waste time t engage main argument
2210,1,feel rest year jade love
2211,2,friend feel insult
2212,1,feel inhibited practice public session compare lesson ice time good ice time
2213,1,fall victim feel inadequate short perfection set expectation perceive expectation
2214,2,feel torture emo poetry come
2215,4,want feel special guest alise jeremy choose
2216,3,feel overwhelmed daily responsibility expectation family job demand time physical tiredness feeling burden overtake financial hardship
2217,1,m make feel
2218,0,m feel strangely indecisive not believe
2219,1,time feel lose friend leave away
2220,0,want write make feel frantic induce nightlife speed
2221,0,love long summer evening shoot o clock feel pressured short daylight hour winter provide
2222,0,admit thought head feel doubtful times coz m scared
2223,1,feel drain excited new journey
2224,4,feel eager leap stash fabric
2225,5,need feel like m accept matter m love
2226,4,feel absolutely safe
2227,4,feel honoured luckily post card
2228,1,feel terrible having snap
2229,2,go lecture cancel
2230,2,feel spit somebody vicious kind disrespect say
2231,2,truly feel irate
2232,3,begin feel curious try percieve beneath pride
2233,4,ve feeling satisfied performance car
2234,3,overwhelmed feeling impressed think kid year young kid right
2235,0,drink cup coffee feel nervous weird
2236,4,get crunk situation feel like write calm lol
2237,2,focus injustice anger rise feel frustrated know change thing
2238,1,feel awful work summer m finally go able real rest foot
2239,0,feel t mg seroquel restless leg syndrome keep awake night
2240,4,m feel hopeful like good time switch doctor
2241,0,not count number time cry feel overwhelmed someone expression concern fact think
2242,4,feeling month go damn cool thing store
2243,5,feel bless privileged know love know child
2244,1,like feel devastate
2245,1,struggle come interesting title blogpost lipbalm feel people consider boring subje
2246,1,feel homesick good reminder bless
2247,1,realise m sound surprisingly like person site wish like mud wrestling bit outrageous feel dull dare average
2248,3,feeling amazed imagine feel
2249,1,feel ungrateful complain feel cheat sit quietly
2250,4,ask folk park feel smart park inch separate car
2251,4,present photo photo remember feel cute day
2252,1,feel answer stupid question
2253,4,feel ve answer question s pretty trust
2254,4,ve vocal feel think convince let walk let opinion matter
2255,0,ve hear feel time discuss uncertain future people conversation blend
2256,4,plod take far long feel virtuous
2257,5,feel like gentle hand recording process
2258,2,come programme girl stay girl placce start pass nasty outright bitchy remark bring male colleague compliment
2259,0,feel poison torture room
2260,4,feel like m finally position decide indulge joyful jubilation claim free chocolate bar
2261,1,suck lot keep house clean feel twitchy messy
2262,2,sure organisation good intention disagree heartedly feeling demostrator slightly hostile student
2263,1,know feel heart ache sadness loss good kind people connected loss href http
2264,5,feel like mention not fond damn shapeshifter place
2265,4,feeling smell go pleasant
2266,4,feel like ought work casual activism construe potentially stressful will not update tomorrow
2267,3,sure buy hubby feel pretty impressed
2268,2,feel little cranky
2269,1,lucky thing work benefit time feel accept unfortunate
2270,4,feel m talented person stage god use talent glory
2271,4,feel resolve soon damaging effect hard work girlfriend relationship
2272,4,feel rich
2273,1,feel heartbroken daughter have adjust new daycare center
2274,4,guess good news feel calm think need chest
2275,5,m busy bask fabulous overwhelming feeling live life cat care sleep eat
2276,2,feel bitchy talk way ahaha sound retarded tell story person swear say boy fall love
2277,4,feel thing learn course useful right
2278,4,remember feel calmed ease minute good light feel confidence determination good possible shot difference world
2279,2,feel fuck week feel great acctually thinking wonderfull time weekend img src http israel
2280,2,feel hateful give friendship woman couple reason admit defeat let husband feel insecure feel need avoid cut life security challenge
2281,1,feel dull easily difference rule absolutely t turn quick easy casserole fantastic relate group meals local hall pitch in picnics address luncheon etc
2282,5,don t want feel slutty
2283,1,feel sorry see parent
2284,4,wishful gain feeling responsibility planning event commitment
2285,4,enjoy feeling belong sense recognise valuable
2286,2,honestly good thing life right crash feel stubborn ask help
2287,4,m tired feel fabulous freak proud moment continue push train far comfort zone
2288,4,actually feel hopeful today
2289,1,think exhaust emotion hold frustration confusion have feel look blank white piece paper want fill colour motion blank
2290,5,feel like job worth care wouldn t shifty
2291,5,feel touch sweet hand
2292,4,understand extremely positive attribute overshadow weakness subconsciously people wire feel superior treat differently
2293,2,feel heartless heart hurt feel feel pain
2294,4,especially interested hear thought perspective read man woman feel respected live
2295,4,feel like ve hold lot summer soccer mom trust
2296,3,remember feel surprised option listen
2297,1,feel reject measure
2298,1,feel like house constantly dirty truly hate clean especially m tired
2299,4,leave nursing home week feel joyful ready come
2300,2,feel agitated sort lose
2301,1,have contraction feel slightly defeat
2302,2,know feel personally offend level
2303,1,highly doubt young jean scott consider limited reason actor future movie announce move aoa feature feel like miss opportunity
2304,4,m go anti dance flow feel eager ill mat circuit grow spine
2305,4,feel love yesterday bring tear eye hear today realize special surround love
2306,4,question feel ok support healthcare plan trample another belief
2307,4,not explain truly feel word encapsulate ness currently ecstatic happy bouncy relieve energise mood dance want chocolate want socialise right smiley lose word express bah emo
2308,1,feel reject reject
2309,0,feel socially anxious lady
2310,4,watch firefly serenity lately d give mixed feeling popular
2311,1,feel sentimental go miss college thrilled new upcoming adventure
2312,1,chinese mum chinese sister spend important year life china know conversation like feel pretty hopeless power education
2313,2,don t try light m go feel fester y grow bitter dark
2314,2,feel m mom despise
2315,4,feel help create rich texture touch mystery outfit
2316,4,m feel strong healthy motivated overall positive
2317,1,feel unimportant today
2318,0,don t feel agitated think ve finally manage emotion check
2319,1,don t know m feel pretty punish right
2320,1,feel completely detached depress
2321,2,not able squeeze run week feel cranky lethargic
2322,0,think tell dad feel skeptical
2323,2,feel wrong feel wrong rile action find offensive unsheathe sword good lord well look
2324,2,wake emotionally drain anxious immediately defense rise feel irritated story life
2325,4,achieve specific athletic goal feel pretty fine form
2326,1,think man maybe feel expect reject time man act like shot woman definetly
2327,4,thank find way feel well
2328,4,feel delighted big definition magic
2329,3,m feel overwhelmed
2330,0,think later feel anxious worried
2331,4,little twitchy feel like depend flawless job end
2332,1,feel trail totally punish
2333,4,friend yuuki feel special
2334,0,feel like assault titanium hedgehog
2335,3,feel dazed end
2336,2,hate feel despise detest truly care completely love
2337,4,remember feel comfortable
2338,1,feel discouraged
2339,0,think feel scared somewhat trepidatious nervous sad
2340,0,m feel shy m feel mad m feel sad
2341,2,wasn t feeling insult idiocy feel supremely bored actually wound fastforwarding scene
2342,5,feel bless free
2343,4,feel determined
2344,2,ask column make feel hateful log
2345,4,empower woman truly feel intelligent sex
2346,1,dislike feel needy
2347,3,m think feel utterly amazed grateful live time people need family find despite thousand mile apart
2348,1,feel unhappy
2349,2,feel like rush weekend
2350,1,feel like m punish year wean drama
2351,3,feel impressed ia
2352,0,don t know feel like love m start scared don t actually love
2353,1,need money cause owe sooooo people money not pay feel guilty take money dad
2354,1,simply feel like learn unimportant stuff
2355,1,feel like
2356,2,t help feel jealous
2357,1,m feel bit gloomy today weather ve get money tube pretty like columbia road
2358,4,m feel gorgeous nail day come concoction ve soak pale bod fake browness watch come soon
2359,0,feel tremor come start real shaky
2360,4,resent people shame tell feel productive alternative fact let think
2361,4,feel pretty triumphant hold little conversation cashier didn t realize deaf
2362,1,m feel rotten talk
2363,1,mention doesn t feel fake
2364,5,feel love joy pride look sweet little face
2365,2,feel bit annoyed antsy good way
2366,4,try buy fabric use project feel fab
2367,1,friend feel inadequate
2368,5,m hurt feel like friend long support m struggle
2369,1,know feel useless s nasty feeling
2370,4,not sleep wake help sleep quick feel like go deeply relaxed sleep
2371,4,feel smart wear
2372,4,feel sure new necklace come afternoon beach combing
2373,0,feel feel reluctant
2374,5,m feel naughty like add little bourbon
2375,4,feel relaxed comfortable
2376,4,feel fine tell get weak
2377,0,feel confused not stop dig bit
2378,4,m postpone feel virtuous labor
2379,2,eat feel hateful number
2380,1,sure understand feel feel like troubled teen maury
2381,5,believe sincere part see time logan probably feel devoted
2382,1,afraid feel helpless
2383,2,not think angry m type away feel word evaporate cyberspace pissed happen
2384,2,presence pray wisdom patience feel instantly furious
2385,4,m feel generous ahahahaha m morbidly funny
2386,5,wish feel tender bite
2387,1,feel jaded stpm sigh
2388,1,find hostile environment leave feel damage blossom die vine
2389,4,murakami feel capture make beloved fan
2390,1,feel homesick nostalgia canaglia
2391,4,want personalize appreciate feel real sincere give
2392,3,enjoy aspect life hard time feel completely overwhelmed
2393,4,feel like child get lick delicious lollypop
2394,2,hausa feel offend especially crazy motorcyclist get ground like happen bear resemblance north
2395,0,feel like m run circle m terrify
2396,2,not feel irritated
2397,4,feel like thing artistic tendency laziness narcissism justifying strengthen
2398,1,guess m sad feel
2399,4,m huge fan london grammar disclosure eye perfect collaboration definitely help feel creative
2400,1,feel person break steal gift represent nice memory turn nice
2401,2,feel like warner brother fuck final edit well film arrive director s cut format blu ray
2402,0,m feel bit scared consider put post work website frequent professional artist decide suck big girl ask feedback
2403,1,understand mother feel bad not help way want m try help
2404,1,not suppose n let happen feel hurt suppose
2405,1,suddenly feel desire press face window silently scream like doom urbanite myriad disaster movie place new york
2406,2,feel disgusted pain agony
2407,4,hope day feel strong optimist right life
2408,0,feel vulnerable worry publish world doesn t like story win t like write
2409,2,afraid cold pool realize actually doesn t feel cold lap
2410,1,consider social political duty defend porn world unravel company sex industry worker feel doom inevitable fate porn personnel
2411,2,want feel distracted need remind work
2412,4,eat great s well feel terrific
2413,1,feel particularly dishearten unmotivate today
2414,0,start feel uncomfortable buzzy short breath mildly panicky
2415,0,feel unprotected
2416,4,feel lot confident path ve choose
2417,1,know feel mil hate day
2418,5,feel bless year daughter family sister california come year
2419,3,sit silent open mouthed rattle reason love special time share confirm feeling amazed reason time realize love
2420,0,little grip timing feel frantic thought
2421,4,feel innocent small
2422,2,take deep breath feel cold air burn way lung exhale little cloud vapor
2423,4,feel like continue bridge lesson continuity go vital m learn game
2424,4,feel delighted share
2425,1,feel like ve go bit dull agree s beauty real friend tell stupid
2426,4,feel glamorous little lacy bottom tiny g string underneath
2427,4,ve talk tell feel s sincere
2428,4,return home feeling invigorate want
2429,1,know shouldn t upset shouldn t feel melancholy eat away inside leave tear eye ache heart
2430,2,simply not want make mad want able share thing feel like emotionally far apart make mad make unable
2431,4,plan cookie evening feel good tomorrow
2432,2,incredibly youthful employment angry stay feel offend simply not professional decide
2433,4,feel welcome lush job
2434,2,feel irritable unfulfilled not paint day
2435,5,feel passionate progressive motivated long try
2436,5,feel give christ want devote
2437,5,feel like babysitter year old act like naughty year old
2438,3,feel sort daze cross eye
2439,1,leave exam feeling humiliate reevaluate know
2440,4,m want look make people feel ok ask question
2441,4,feel honored year
2442,1,pick move czech republic chris send care package food music remind home feel homesick
2443,4,feel popular underground thank god m look toby tunji
2444,0,feel strange bonding bed wardrode little decade
2445,4,feel ecstatic relived heart truely grateful
2446,5,excercise run feel tender like throb
2447,4,feel confident today
2448,1,internet cafe kid feel neglectful blog chaotic
2449,1,quit screw frame shop not feel bad british
2450,4,feel like s important take critical look idea like sure stay ground reality
2451,0,feel hesitant timid
